id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,explicit,instrumental
19,Midnight Rain Blues,Crossroads Kings,blues,moody,0.52,76,0.38,0.51,0.78,62,2010s,nostalgic,False,False
20,Slow Burn Delta,River Delta Band,blues,relaxed,0.40,68,0.45,0.43,0.85,58,2010s,mellow,False,False
21,Nocturne in E Minor,Studio Strings,classical,relaxed,0.18,58,0.72,0.22,0.98,60,2010s,dreamy,False,True
22,Allegro in D,Nova Strings,classical,intense,0.65,142,0.55,0.35,0.92,57,2010s,euphoric,False,True
23,Campfire Letters,June Hollow,folk,happy,0.45,92,0.85,0.52,0.90,64,2020s,nostalgic,False,False
24,Mountain Road,Cedar Line,folk,chill,0.32,82,0.78,0.40,0.94,59,2010s,mellow,False,True
25,Blue Velvet Evening,Slow Stereo,jazz,moody,0.42,88,0.65,0.58,0.91,66,2010s,nostalgic,False,False
26,Uptown Swing,Delta Mae,jazz,happy,0.68,112,0.82,0.71,0.72,70,2020s,euphoric,False,False
27,Serpent Crown,Fracture Point,metal,intense,0.96,175,0.18,0.58,0.02,68,2010s,aggressive,False,False
28,Neon Apocalypse,Voltline,metal,hype,0.92,168,0.25,0.62,0.04,72,2020s,aggressive,True,False
