id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,explicit,instrumental
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,False,False
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,mellow,False,True
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,aggressive,False,False
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,nostalgic,False,True
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,euphoric,False,False
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,52,2010s,dreamy,False,True
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,61,2010s,nostalgic,False,False
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2010s,nostalgic,False,True
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,63,2020s,mellow,False,True
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020s,euphoric,False,False
11,Dusty Boots,Red Clay Road,country,happy,0.65,104,0.88,0.70,0.74,66,2010s,nostalgic,False,False
12,Block Party,Street Cipher,hip-hop,hype,0.87,95,0.72,0.91,0.08,88,2020s,aggressive,True,False
13,Moonlight Sonata Remix,Nova Strings,classical,relaxed,0.22,66,0.78,0.30,0.95,55,2010s,dreamy,False,True
14,Iron Curtain,Fracture Point,metal,intense,0.97,180,0.21,0.55,0.03,70,2010s,aggressive,False,False
15,Island Morning,Coco Drift,reggae,chill,0.53,85,0.90,0.74,0.62,67,2020s,mellow,False,False
16,Porch Light Blues,Delta Mae,blues,moody,0.44,72,0.45,0.48,0.83,54,2010s,nostalgic,False,False
17,Drop Zone,Circuit Breaker,edm,hype,0.95,140,0.66,0.94,0.04,82,2020s,euphoric,False,False
18,Wildflower Road,June Hollow,folk,relaxed,0.31,88,0.82,0.45,0.91,60,2010s,nostalgic,False,True
